Raízes, tubérculos, legumes e afins,Qtd,Unit,Total
Batata doce | 1kg,1000,4,
Cará,1,5,
Cenoura | o molho,1,3,
Jerimum | 1kg,1000,5,
Macaxeira | 1kg,1000,4,
Rabanete | molho,1,2.5,
Quiabo | 15 unidades,15,2,
